pr_project,pr_id,First Status,Reputation,Changed file,Evaluation time,Nb Comments,Nb Commits,LC added,LC deleted,classes
rails,11389,Accepted,0.72,4,0.47,0,1,17,19,Non-Reopened
rails,6787,Accepted,0.84,0,0.01,0,0,61,0,Non-Reopened
rails,22101,Accepted,0.75,0,0.91,0,0,8,0,Non-Reopened
rails,21258,Accepted,0.33,0,0.02,0,0,2,0,Non-Reopened
rails,3329,Rejected,0.75,2,155.8,0,0,16,1,Reopened
rails,10279,Rejected,0,1,0.2,3,1,50,3,Non-Reopened
rails,6003,Rejected,0,0,12.68,0,0,0,0,Non-Reopened
rails,10271,Rejected,0.25,2,0.04,0,0,40,31,Reopened
rails,20933,Rejected,0.25,6,1.7,0,0,413,12,Reopened
rails,11593,Accepted,0.44,0,0.03,0,0,0,0,Non-Reopened
rails,11124,Accepted,0.81,3,0.21,0,1,1,101,Non-Reopened
rails,11561,Rejected,0,2,99.72,0,1,0,2,Non-Reopened
rails,14299,Rejected,0.55,1,5.03,2,1,2,0,Non-Reopened
rails,3232,Accepted,0.88,0,1.48,0,0,1,0,Non-Reopened
rails,14563,Rejected,0,1,0.14,1,1,5,1,Non-Reopened
rails,4337,Accepted,0.43,0,0,0,0,2,0,Non-Reopened
rails,12280,Accepted,0.81,1,0.35,0,1,51,1,Non-Reopened
rails,10920,Rejected,0,3,13.68,7,4,1,2,Non-Reopened
rails,6344,Rejected,0.71,4,0.01,0,0,16,4,Reopened
rails,12167,Accepted,0.5,1,0.31,0,1,70,1,Non-Reopened
rails,20260,Rejected,0.83,1,0.08,0,0,1,1,Reopened
rails,18165,Rejected,0.25,0,1.33,8,0,36,0,Non-Reopened
rails,14373,Accepted,0.68,3,1.1,0,2,6,6,Non-Reopened
rails,6405,Rejected,0.33,372,0,2,538,22,1681,Non-Reopened
rails,3481,Rejected,0.66,0,17.12,3,0,0,0,Non-Reopened
rails,14345,Accepted,0.81,2,0.84,0,1,36,3,Non-Reopened
rails,16949,Rejected,0,1,228.72,3,1,11,53,Non-Reopened
rails,11489,Rejected,0.58,0,0.02,5,0,0,0,Reopened
rails,17820,Accepted,0.25,0,34.92,0,0,14,0,Non-Reopened
rails,9761,Rejected,0.44,1,4.94,0,0,8,5,Reopened
rails,6219,Accepted,0.84,0,0.44,0,0,0,0,Non-Reopened
rails,4226,Accepted,0.5,2,0.91,0,1,6,8,Non-Reopened
rails,15806,Rejected,0.83,4,0.08,0,0,39,8,Reopened
rails,13780,Rejected,0.5,1,0.49,0,0,13,0,Reopened
rails,123,Rejected,0,2,0.2,0,1,10,0,Non-Reopened
rails,6084,Accepted,0.71,0,0,0,0,16,0,Non-Reopened
rails,4601,Accepted,0.88,1,1.17,0,1,17,0,Non-Reopened
rails,15542,Accepted,0.61,9,0.56,0,1,4,15,Non-Reopened
rails,26211,Rejected,0,1,0.13,6,0,0,2,Reopened
rails,5432,Rejected,0.33,2,6.99,4,1,8,8,Non-Reopened
rails,14212,Accepted,0.6,2,657.05,0,1,9,1,Non-Reopened
rails,5698,Accepted,0.5,5,25.72,0,6,1,11,Non-Reopened
rails,3185,Accepted,0.86,1,0.13,0,1,1,1,Non-Reopened
rails,11370,Accepted,0.8,1,0,0,1,2,1,Non-Reopened
rails,4667,Accepted,0.88,2,0.01,0,4,21,44,Non-Reopened
rails,23207,Accepted,0.93,1,0.01,0,1,0,2,Non-Reopened
rails,20649,Rejected,0.65,6,102.96,2,1,12,0,Non-Reopened
rails,4576,Accepted,0.79,1,2.02,0,1,3,1,Non-Reopened
rails,12333,Rejected,0.33,1,111.36,0,1,0,1,Non-Reopened
rails,9341,Accepted,0.87,3,0.06,0,1,4,6,Non-Reopened
rails,9574,Accepted,0.81,1,0.01,0,1,18,0,Non-Reopened
rails,19383,Accepted,0.66,1,0.01,0,1,4,5,Non-Reopened
rails,26438,Rejected,0.71,2,0.04,0,0,7,0,Reopened
rails,11592,Rejected,0,1,0.04,3,0,1,1,Reopened
rails,29492,Accepted,0.86,1,0.36,0,1,0,13,Non-Reopened
rails,22172,Accepted,0.5,3,20.28,0,1,0,0,Non-Reopened
rails,13231,Accepted,0.78,1,0.29,0,1,1,1,Non-Reopened
rails,17208,Rejected,0,0,0.17,9,0,71,0,Non-Reopened
rails,9113,Accepted,0.55,1,0,0,1,0,0,Non-Reopened
rails,7601,Accepted,0.64,2,0.28,0,1,0,18,Non-Reopened
rails,18764,Accepted,0.5,3,7.85,0,1,69,0,Non-Reopened
rails,4617,Accepted,0.19,0,0,0,0,0,0,Non-Reopened
rails,22137,Rejected,0,1,1.24,4,1,0,0,Non-Reopened
rails,17493,Accepted,0.5,0,4.34,0,0,0,0,Non-Reopened
rails,28187,Accepted,0.86,1,0.17,0,1,3,0,Non-Reopened
rails,1704,Rejected,0,0,0.44,0,0,0,0,Non-Reopened
rails,15289,Accepted,0.64,3,0.04,0,1,2,14,Non-Reopened
rails,12743,Rejected,0.57,3,0.49,1,0,86,6,Reopened
rails,23862,Accepted,0.86,1,0.24,0,1,18,0,Non-Reopened
rails,20179,Accepted,0.64,1,0.07,0,1,1,5,Non-Reopened
rails,24805,Rejected,0.74,1,0.05,1,0,8,4,Reopened
rails,27594,Rejected,0.33,1,3.03,0,1,1,1,Non-Reopened
rails,12950,Rejected,0.6,1,0.05,5,1,0,2,Non-Reopened
rails,22716,Accepted,0.33,0,0.08,0,0,1,0,Non-Reopened
rails,27191,Rejected,0.32,3,80.5,7,0,337,0,Reopened
rails,24125,Accepted,0.45,1,0,0,1,0,0,Non-Reopened
rails,17080,Accepted,0.86,1,0,0,1,1,1,Non-Reopened
rails,2068,Rejected,0.79,2,425.66,7,1,50,2,Non-Reopened
rails,4295,Rejected,0.67,1,0.15,0,1,22,4,Non-Reopened
rails,22792,Accepted,0.59,1,0.05,0,1,1,0,Non-Reopened
rails,6344,Rejected,0.71,4,0.01,0,0,16,4,Reopened
rails,20317,Rejected,0.66,6,48.96,6,0,67,35,Reopened
rails,19742,Accepted,0.65,1,0.1,0,1,69,3,Non-Reopened
rails,5112,Accepted,0.17,1,0.01,0,1,2,5,Non-Reopened
rails,26547,Accepted,0.32,8,11.84,0,2,75,24,Non-Reopened
rails,83,Rejected,0.75,2,84.37,0,2,12,297,Non-Reopened
rails,20193,Rejected,0.45,2,27.97,2,1,50,1,Non-Reopened
rails,25628,Rejected,0.29,4,0.41,2,0,0,0,Reopened
rails,1609,Accepted,0.76,3,0,0,1,6,1,Non-Reopened
rails,3484,Rejected,0,1,0.43,1,1,2,1,Non-Reopened
rails,28994,Rejected,0.4,1,0.94,0,0,5,5,Reopened
rails,23242,Rejected,0.59,2,0.1,0,0,6,9,Reopened
rails,16239,Accepted,0.79,1,0.24,0,1,1,1,Non-Reopened
rails,22737,Rejected,0.5,1,0,0,1,1,1,Non-Reopened
rails,26446,Accepted,0.86,1,7,0,1,8,10,Non-Reopened
rails,27653,Rejected,0.5,1,0.97,2,0,1,1,Reopened
rails,10731,Rejected,0,158,0,0,91,104,851,Non-Reopened
rails,18494,Rejected,0.53,6,717.25,0,1,3834,276,Non-Reopened
rails,20511,Rejected,0.5,1,3.55,0,0,41,12,Reopened
rails,2042,Accepted,0.73,1,0.16,0,1,115,7,Non-Reopened
rails,3783,Accepted,0.38,0,0.02,0,0,27,0,Non-Reopened
rails,6914,Rejected,0.75,2,0.03,1,0,11,37,Reopened
rails,25035,Accepted,0.75,1,0.03,0,1,2,2,Non-Reopened
rails,6072,Rejected,0.78,0,0.22,0,0,0,0,Reopened
rails,26448,Accepted,0.86,1,8.07,0,1,0,1,Non-Reopened
rails,13895,Rejected,0,627,0,0,1427,28,19558,Non-Reopened
rails,21181,Rejected,0.33,1,1.22,0,0,19,0,Reopened
rails,11428,Accepted,0.5,1,0.01,0,1,1,2,Non-Reopened
rails,9734,Accepted,0.5,1,0.21,0,1,77,2,Non-Reopened
rails,13758,Rejected,0,0,1.12,0,0,0,0,Reopened
rails,9318,Accepted,0.86,1,0.22,0,1,0,3,Non-Reopened
rails,10234,Accepted,0.67,3,20.61,0,1,0,1,Non-Reopened
rails,18403,Accepted,0.85,5,0.02,0,2,4,2,Non-Reopened
rails,1855,Rejected,0.64,0,4.24,0,0,0,0,Non-Reopened
rails,26155,Accepted,0.86,2,2.41,0,1,25,29,Non-Reopened
rails,4113,Rejected,0.76,1,0.01,1,1,2,1,Non-Reopened
rails,9046,Rejected,0.71,4,0.08,0,0,31,3,Reopened
rails,9111,Rejected,0.5,3,0.13,0,0,11,1,Reopened
rails,4369,Accepted,0.9,1,0.5,0,1,7,2,Non-Reopened
rails,8611,Rejected,0,3,0.48,0,0,89,1,Reopened
rails,15155,Accepted,0.67,7,1.92,0,1,1,23,Non-Reopened
rails,360,Rejected,0.38,2,0.1,0,0,94,15,Reopened
rails,17321,Accepted,0.86,2,0,0,1,1,4,Non-Reopened
rails,18778,Rejected,0,2,260.87,4,1,48,1,Non-Reopened
rails,28341,Rejected,0.8,3,1.49,0,0,6,4,Reopened
rails,18621,Accepted,0.77,1,0.03,0,1,31,1,Non-Reopened
rails,22612,Accepted,0.75,1,0.01,0,1,5,1,Non-Reopened
rails,8395,Accepted,0.5,1,6.73,0,1,2,23,Non-Reopened
rails,4983,Rejected,0.5,0,409.93,9,0,13,0,Non-Reopened
rails,15145,Accepted,0.86,0,0.09,0,0,0,0,Non-Reopened
rails,28403,Rejected,0.33,647,0,0,737,14645,8803,Non-Reopened
rails,21894,Rejected,0.81,1,0.07,2,0,6,10,Reopened
rails,22939,Accepted,0.93,3,0.02,0,1,19,1,Non-Reopened
rails,7028,Accepted,0.75,7,7.4,0,1,13,16,Non-Reopened
rails,5900,Accepted,0.79,2,0.01,0,1,7,1,Non-Reopened
rails,11107,Accepted,0.5,3,27.95,0,1,2,2,Non-Reopened
rails,22929,Rejected,0.67,11,0.04,0,1,0,24,Non-Reopened
rails,4320,Accepted,0.76,1,0.04,0,1,6,29,Non-Reopened
rails,27100,Rejected,0,4,4.92,4,2,7,3,Non-Reopened
rails,7790,Rejected,0.52,1,0,0,1,22,5,Non-Reopened
rails,23377,Accepted,0.66,4,13.09,0,1,25,17,Non-Reopened
rails,22330,Rejected,0.6,8,0.07,2,0,65,65,Reopened
rails,17736,Rejected,0,2,0.01,1,2,120,24,Non-Reopened
rails,19586,Rejected,0.66,2,1.16,0,0,18,1,Reopened
rails,13388,Rejected,0,1,0,3,0,3,0,Reopened
rails,3320,Rejected,0.67,1,0.21,1,0,6,6,Reopened
rails,14334,Accepted,0.33,1,0.08,0,1,0,4,Non-Reopened
rails,7964,Accepted,0.61,7,1.45,0,1,0,136,Non-Reopened
rails,11641,Accepted,0.58,0,0.03,0,0,0,0,Non-Reopened
rails,3564,Accepted,0.86,1,0.07,0,1,12,3,Non-Reopened
rails,7558,Rejected,0.43,0,0.13,0,0,1,0,Non-Reopened
rails,18355,Accepted,0.79,0,0.02,0,0,13,0,Non-Reopened
rails,14973,Accepted,0.6,1,0.16,0,1,29,1,Non-Reopened
rails,1323,Rejected,0.33,2,0.46,0,0,11,1,Reopened
rails,23199,Rejected,0.69,1,0.01,2,1,16,42,Non-Reopened
rails,32,Rejected,0.76,0,0,0,0,80,0,Non-Reopened
rails,21167,Rejected,0.5,2,0.77,0,0,2,2,Reopened
rails,17777,Rejected,0,1,0.56,9,0,0,0,Reopened
rails,29205,Rejected,0,4,0.01,0,0,19,6,Reopened
rails,25914,Rejected,0.57,4,0,2,0,81,0,Reopened
rails,16763,Accepted,0.71,0,0.19,0,0,0,0,Non-Reopened
rails,12317,Accepted,0.87,4,0.23,0,1,16,1,Non-Reopened
rails,21669,Accepted,0.72,1,0.73,0,1,122,2,Non-Reopened
rails,26166,Accepted,0.86,1,0.03,0,1,4,4,Non-Reopened
rails,10351,Accepted,0.47,2,0.4,0,2,8,5,Non-Reopened
rails,20384,Rejected,0.77,4,48.95,11,0,82,17,Reopened
rails,18670,Accepted,0.77,2,0.13,0,1,10,2,Non-Reopened
rails,17149,Rejected,0,3,160.82,2,1,0,0,Non-Reopened
rails,23732,Accepted,0.64,3,0.04,0,1,15,2,Non-Reopened
rails,15513,Accepted,0.64,3,0.73,0,1,0,91,Non-Reopened
rails,25958,Accepted,0.86,1,0.68,0,1,38,0,Non-Reopened
rails,14157,Rejected,0,2,500.3,0,0,29,3,Reopened
rails,27395,Accepted,0.93,5,0.18,0,1,8,8,Non-Reopened
rails,20511,Rejected,0.5,1,3.55,0,0,41,12,Reopened
rails,22485,Rejected,0.79,2,18.44,0,1,3,2,Non-Reopened
rails,15174,Rejected,0.44,2,0.44,1,1,18,1,Non-Reopened
rails,11404,Rejected,0.58,0,0.12,0,0,0,0,Non-Reopened
rails,13388,Rejected,0,1,0,3,0,3,0,Reopened
rails,13600,Rejected,0.33,4,0.63,3,2,3,3,Non-Reopened
rails,25726,Accepted,0.61,2,0.05,0,1,5,5,Non-Reopened
rails,9042,Accepted,0.87,3,41.14,0,1,50,1,Non-Reopened
rails,21687,Accepted,0.86,3,0.6,0,1,2,27,Non-Reopened
rails,10453,Accepted,0.78,1,2.12,0,1,27,1,Non-Reopened
rails,1309,Rejected,0.29,0,0,0,0,0,0,Reopened
rails,25241,Accepted,0.5,2,31.82,0,1,12,2,Non-Reopened
rails,17112,Rejected,0,2,3.16,3,0,15,10,Reopened
rails,20346,Accepted,0.79,4,0.07,0,1,2,59,Non-Reopened
rails,23001,Rejected,0,0,0,1,0,61,0,Non-Reopened
rails,24837,Rejected,0.59,4,0.03,0,0,9,5,Reopened
rails,15427,Accepted,0.84,13,0.09,0,1,17,44,Non-Reopened
rails,4093,Accepted,0.86,1,0.02,0,1,2,0,Non-Reopened
rails,23484,Accepted,0.84,1,0,0,1,4,7,Non-Reopened
rails,8097,Accepted,0.86,2,0.01,0,1,17,1,Non-Reopened
rails,10379,Accepted,0.84,0,0,0,0,28,0,Non-Reopened
rails,9111,Rejected,0.5,3,0.13,0,0,11,1,Reopened
rails,21341,Accepted,0.74,1,0.24,0,1,1,5,Non-Reopened
rails,12019,Rejected,0.74,0,0.01,1,0,0,0,Non-Reopened
rails,18569,Accepted,0.84,1,0.1,0,1,0,1,Non-Reopened
rails,26833,Accepted,0.73,1,0,0,1,1,1,Non-Reopened
rails,25596,Accepted,0.86,1,0.06,0,1,102,42,Non-Reopened
rails,23861,Accepted,0.25,0,0,0,0,4,0,Non-Reopened
rails,2055,Rejected,0.33,0,0.16,1,0,29,0,Non-Reopened
rails,23527,Rejected,0.86,2,5.05,2,1,0,44,Non-Reopened
rails,6150,Accepted,0.71,0,17.87,0,0,89,0,Non-Reopened
rails,8124,Rejected,0.33,2,7.83,6,1,34,2,Non-Reopened
rails,11575,Rejected,0.64,2,0.05,0,1,24,0,Non-Reopened
rails,4106,Rejected,0.66,0,0.17,0,0,53,0,Non-Reopened
rails,25929,Accepted,0.86,3,3.27,0,1,5,7,Non-Reopened
rails,9490,Rejected,0.52,1,0.23,1,1,0,5,Non-Reopened
rails,22829,Accepted,0.67,3,0.67,0,1,24,1,Non-Reopened
rails,6938,Accepted,0.52,1,4.28,0,1,7,2,Non-Reopened
rails,25668,Rejected,0.86,2,0.02,2,0,4,4,Reopened
rails,25759,Accepted,0.86,2,0.47,0,1,12,8,Non-Reopened
rails,13707,Accepted,0.5,1,0.05,0,1,42,2,Non-Reopened
rails,29191,Accepted,0.49,2,6.58,0,1,6,6,Non-Reopened
rails,14394,Rejected,0.4,1,0.07,2,1,28,1,Non-Reopened
rails,7168,Rejected,0,0,0.01,3,0,0,0,Reopened
rails,26874,Accepted,0.83,2,31.79,0,1,21,5,Non-Reopened
rails,14840,Rejected,0.79,1,0.03,1,0,2,2,Reopened
rails,7724,Accepted,0.6,1,0.05,0,1,0,1,Non-Reopened
rails,17678,Accepted,0.5,5,4.86,0,1,9,12,Non-Reopened
rails,11133,Accepted,0.81,1,0.27,0,1,1,18,Non-Reopened
rails,9020,Rejected,0,4,0.02,0,0,62,2,Reopened
rails,14528,Accepted,0.5,1,0.83,0,1,0,0,Non-Reopened
rails,5161,Accepted,0.86,1,0.07,0,1,4,1,Non-Reopened
rails,14017,Rejected,0,2,0.03,2,0,18,0,Reopened
rails,11044,Rejected,0.52,3,182.05,13,1,7,2,Non-Reopened
rails,25371,Accepted,0.86,1,0.07,0,1,0,12,Non-Reopened
rails,27383,Accepted,0.5,0,1.24,0,0,0,0,Non-Reopened
rails,19442,Rejected,0.36,1,0.67,1,0,3,1,Reopened
rails,15151,Accepted,0.84,14,0.26,0,1,7,57,Non-Reopened
rails,5998,Accepted,0.5,0,0,0,0,1,0,Non-Reopened
rails,15283,Accepted,0.5,1,0.08,0,1,5,2,Non-Reopened
rails,2156,Accepted,0.87,1,0.05,0,1,8,0,Non-Reopened
rails,16914,Accepted,0.56,0,2.5,0,0,1,0,Non-Reopened
rails,20018,Accepted,0.76,10,53.35,0,2,68,13,Non-Reopened
rails,23396,Accepted,0.33,1,0.68,0,1,29,0,Non-Reopened
rails,16011,Accepted,0.67,2,2.95,0,1,24,3,Non-Reopened
rails,24089,Rejected,0.65,3,0.02,5,1,43,4,Non-Reopened
rails,17616,Rejected,0,1,11.52,12,2,2,1,Non-Reopened
rails,17406,Rejected,0,1,0.25,3,1,24,2,Non-Reopened
rails,1630,Rejected,0,2,0.02,1,3,285,7,Non-Reopened
rails,2008,Rejected,0.66,0,385,0,0,7,0,Non-Reopened
rails,6655,Rejected,0,1,0.58,0,1,0,2,Non-Reopened
rails,1469,Rejected,0.67,0,0.12,0,0,0,0,Reopened
rails,15740,Rejected,0.25,0,0.01,1,0,51,0,Non-Reopened
rails,19575,Accepted,0.93,0,0.25,0,0,152,0,Non-Reopened
rails,4687,Accepted,0.9,1,0.02,0,1,6,2,Non-Reopened
rails,8255,Rejected,0.79,1,0,0,1,1,1,Non-Reopened
rails,24730,Accepted,0.78,2,0.19,0,1,4,4,Non-Reopened
rails,10412,Accepted,0.78,1,0.36,0,1,3,1,Non-Reopened
rails,20384,Rejected,0.77,4,48.95,11,0,82,17,Reopened
rails,23793,Accepted,0.5,0,0.21,0,0,7,0,Non-Reopened
rails,2931,Accepted,0.67,0,0.01,0,0,0,0,Non-Reopened
rails,21887,Accepted,0.81,2,0.02,0,1,0,2,Non-Reopened
rails,20955,Rejected,0.65,1,0,1,1,13,12,Non-Reopened
rails,6072,Rejected,0.78,0,0.22,0,0,0,0,Reopened
rails,17069,Accepted,0.5,0,147.14,0,0,0,0,Non-Reopened
rails,26004,Accepted,0.93,1,1.28,0,1,0,8,Non-Reopened
rails,26688,Rejected,0.86,2,0.87,2,0,9,18,Reopened
