project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
angular.js,14410,0,0,0,0.06,0,0,0,0,0
angular.js,15849,0,0,137,0.09,0,0,5888,2488,1
angular.js,4343,0,0,2,0.01,4,1,2,2,0
angular.js,3742,0,0,1,10.81,1,1,1,0,0
angular.js,3337,0,0.33,3,0.77,0,1,32,46,0
angular.js,6082,0,0,1,2.44,0,0,1,1,1
angular.js,3998,0,0,0,0.04,0,0,0,0,1
angular.js,586,1,0.33,83,5.37,1,10,133,175,0
angular.js,10710,0,0,0,0.07,4,0,0,0,0
angular.js,664,0,0,2,283.36,0,2,3,0,0
angular.js,15626,0,0,3,90.86,1,6,29,18,0
angular.js,546,0,0.26,174,38.83,0,0,8136,5265,1
angular.js,14234,1,0.43,2,3.9,0,1,43,8,0
angular.js,12717,0,0,1,146.97,0,1,3,0,0
angular.js,3952,0,0,0,40.98,0,0,0,0,0
angular.js,4578,0,0,1,3.45,0,1,2,2,0
angular.js,15051,0,0,1,0.03,3,1,1,1,0
angular.js,7133,0,0,0,25.08,4,0,0,0,0
angular.js,15071,0,0.43,8,5.91,0,2,844,1664,0
angular.js,14471,0,0,2,1.53,0,2,3,3,0
angular.js,11839,0,0,2,210.43,0,6,59,4,0
angular.js,4911,0,0,0,0.25,0,0,0,0,1
angular.js,6968,0,0.33,2,0.29,0,2,54,5,0
angular.js,3292,0,0,1,1.91,2,1,1,2,0
angular.js,10864,0,0,2,37.53,0,0,32,13,1
angular.js,11567,0,0,2,0.74,2,2,8,1,0
angular.js,3344,0,0,1,27.33,1,1,32,0,0
angular.js,13520,0,0.02,1,3.76,0,0,3,7,1
angular.js,2163,0,0,0,671.13,20,0,0,0,1
angular.js,11413,0,0,1,110.66,0,1,1,0,0
angular.js,3848,0,0,2,109.94,0,0,134,4,1
angular.js,4648,0,0,1,1.17,3,1,1,1,0
angular.js,11880,0,0,1,0,0,1,1,1,0
angular.js,4821,0,0,0,6.18,0,0,0,0,0
angular.js,3801,0,0.02,9,5.34,0,5,311,202,0
angular.js,9823,0,0,1,0.04,3,1,1,1,0
angular.js,4964,0,0,3,3.99,0,0,6,6,1
angular.js,6664,0,0.26,1,0.02,8,1,2,1,0
angular.js,6569,0,0.25,0,105.41,3,0,0,0,0
angular.js,3338,0,0.08,2,0.08,1,1,23,6,0
angular.js,6615,0,0,1,9.04,6,1,1,1,0
angular.js,7009,0,0,6,2.26,0,5,2050,1935,0
angular.js,2251,0,0,1,8.85,1,2,2,2,0
angular.js,1772,0,0,1,21.22,1,0,1,1,1
angular.js,5517,0,0,1,149.76,0,1,2,2,0
angular.js,11083,0,0,0,23.61,0,0,0,0,0
angular.js,14937,0,0,1,0.35,0,1,3,3,0
angular.js,13864,0,0,1,0.34,0,1,2,2,0
angular.js,8362,0,0,1,0.01,2,1,2,2,0
angular.js,4601,0,0,1,3.39,0,1,1,1,0
angular.js,9456,0,0,1,594.81,0,1,48,0,0
angular.js,2252,0,0.02,32,2.14,0,3,2396,231,0
angular.js,9135,0,0,1,1.21,0,1,3,1,0
angular.js,15979,0,0,1,0.7,0,0,2,2,1
angular.js,11588,0,0.02,1,0.76,0,1,1,1,0
angular.js,11564,0,0.03,1,511.11,2,1,1,1,0
angular.js,6611,0,0,0,0.66,3,0,0,0,0
angular.js,14894,1,0.43,2,12.06,0,1,104,1,0
angular.js,2818,0,0.02,1,1.75,0,1,0,3,0
angular.js,15518,0,0,1,1.08,6,2,1,1,0
angular.js,8770,0,0,1,0.01,0,1,6,2,0
angular.js,8479,0,0,1,0.01,0,2,4,0,0
angular.js,5131,0,0.02,3,0.05,0,1,2230,2180,0
angular.js,4911,0,0,0,0.25,0,0,0,0,1
angular.js,656,0,0.26,2,3.23,3,1,15,3,0
angular.js,13333,0,0,0,21.91,0,0,0,0,1
