project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
homebrew-cask,14687,0,0.29,1,0.03,0,1,2,2,0
homebrew-cask,28003,1,0.5,0,0.12,0,1,2,2,0
homebrew-cask,14998,0,0.8,0,0.05,0,1,10,3,0
homebrew-cask,25107,1,0.48,0,0.15,0,0,0,0,0
homebrew-cask,26514,1,0.48,0,0.03,0,1,1,1,0
homebrew-cask,27165,1,0.96,1,0.01,0,0,0,0,0
homebrew-cask,9357,1,0.36,224,0.89,0,1,2,2,0
homebrew-cask,28297,1,0.89,1,0,0,1,2,2,0
homebrew-cask,26759,0,0.64,0,0.01,0,22,22,22,0
homebrew-cask,24994,0,0.89,0,0.05,0,0,0,0,1
homebrew-cask,33765,0,0.84,1,0,0,0,1,1,1
homebrew-cask,8464,1,0.97,2,0.03,0,0,0,0,0
homebrew-cask,21869,1,0.64,1,0.02,0,1,3,3,0
homebrew-cask,6992,1,0.97,1,0.09,0,1,1,1,0
homebrew-cask,2519,1,0.48,0,0,0,1,8,8,0
homebrew-cask,24817,0,0.67,1,0.38,3,0,3,3,1
homebrew-cask,4530,1,0.48,0,0,0,0,0,0,0
homebrew-cask,31106,1,0.95,1,0.24,0,1,2,2,0
homebrew-cask,17316,0,0.48,0,0.03,0,0,0,0,0
homebrew-cask,28450,1,0.89,0,0.1,0,0,0,0,0
homebrew-cask,30187,1,0.5,1,0.17,0,1,2,2,0
homebrew-cask,10409,0,0.59,0,0.59,1,0,0,0,1
homebrew-cask,32263,1,0.69,1,0.1,0,1,2,2,0
homebrew-cask,27202,1,0.67,1,0.18,0,1,2,2,0
homebrew-cask,33617,0,0.84,1,0.02,0,0,1,1,1
homebrew-cask,27137,1,0.89,0,0,0,1,13,0,0
homebrew-cask,1220,1,0.5,1,0,0,1,8,0,0
homebrew-cask,16228,1,0.17,1,0.16,0,1,61,41,0
homebrew-cask,30294,0,0.92,1,0.01,0,1,2,2,0
homebrew-cask,2532,0,0.5,3,3.47,0,0,63,7,1
homebrew-cask,23126,0,0.64,1,0.16,0,0,1,1,1
homebrew-cask,33500,0,0.69,1,0.09,1,1,1,1,0
homebrew-cask,30245,1,0.75,0,0.03,0,0,0,0,0
homebrew-cask,3744,1,0.84,1,0,1,0,0,0,0
homebrew-cask,2165,1,0.82,1,0.68,0,0,0,0,0
homebrew-cask,4577,1,0.78,0,0.02,0,1,3,3,0
homebrew-cask,23123,0,0.64,1,0.17,0,0,4,4,1
homebrew-cask,31458,0,0.84,2,0,0,2,22,0,0
homebrew-cask,2532,0,0.5,3,3.47,0,0,63,7,1
homebrew-cask,3367,1,0.97,1,0.28,0,1,5,0,0
homebrew-cask,33756,0,0.84,1,0.01,0,0,1,1,1
homebrew-cask,23144,0,0.64,1,0.12,0,0,1,1,1
homebrew-cask,28459,1,0.64,1,0.01,0,1,3,3,0
homebrew-cask,28278,1,0.64,1,0,0,1,3,3,0
homebrew-cask,1756,1,0.94,1,0.01,0,1,2,2,0
homebrew-cask,34259,1,0.69,1,0.15,0,1,3,3,0
homebrew-cask,9456,1,0.71,1,0.01,0,1,12,0,0
homebrew-cask,18177,0,0,1,0.06,0,0,0,0,0
homebrew-cask,20992,1,0.64,1,0.03,0,1,3,3,0
homebrew-cask,16107,0,0.49,1,0.13,3,1,3,3,0
homebrew-cask,34696,1,0.89,1,0.08,0,1,2,2,0
homebrew-cask,33009,0,0.78,0,0.03,0,0,0,0,1
homebrew-cask,32658,1,0.89,1,0.06,0,1,4,4,0
homebrew-cask,28161,1,0.89,1,0.05,0,1,5,5,0
homebrew-cask,11113,0,0.61,0,0,1,0,0,0,0
homebrew-cask,7050,0,0.97,8,0.91,0,0,15,16,1
homebrew-cask,32084,1,0.95,8,3.41,0,8,16,8,0
homebrew-cask,29296,1,0.6,1,0.01,0,1,2,2,0
homebrew-cask,22963,1,0.66,1,0.11,0,1,2,2,0
homebrew-cask,16932,0,0.64,1,0.07,0,1,2,2,0
homebrew-cask,25009,0,0.89,0,0,0,0,0,0,1
homebrew-cask,35315,0,0.84,1,1.01,1,0,3,3,1
homebrew-cask,21560,1,0.78,1,0.01,1,1,2,2,0
homebrew-cask,30111,1,0.87,1,0.25,0,4,16,0,0
homebrew-cask,33613,0,0.84,1,0.03,0,0,1,1,1
homebrew-cask,20399,1,0.66,1,0.11,0,1,11,0,0
homebrew-cask,25285,1,0.95,0,0.16,0,0,0,0,0
homebrew-cask,24734,1,0.5,1,0.17,0,3,14,0,0
homebrew-cask,10226,1,0.75,1,0.15,0,1,3,3,0
homebrew-cask,30836,1,0.8,0,0.19,0,0,0,0,0
homebrew-cask,49,1,0.63,0,0.42,0,0,0,0,0
homebrew-cask,4155,1,0.8,1,0.49,0,1,1,1,0
homebrew-cask,7050,0,0.97,8,0.91,0,0,15,16,1
homebrew-cask,14314,1,0.5,1,0.25,0,1,4,4,0
homebrew-cask,7533,0,0.5,0,0,0,1,8,4,0
homebrew-cask,19171,0,0.64,1,0.01,0,1,3,3,0
homebrew-cask,13297,0,0.64,1,0.47,2,1,2,0,0
homebrew-cask,35413,1,0.64,1,0,0,1,3,3,0
homebrew-cask,3075,1,0.97,4,0,0,1,7,0,0
homebrew-cask,7165,0,0.93,3,7.64,7,0,27,46,1
homebrew-cask,31422,1,0.75,1,0.01,0,1,2,2,0
homebrew-cask,8544,0,0.59,0,0.29,2,0,0,0,1
homebrew-cask,15023,0,0,0,0.31,0,0,0,0,0
homebrew-cask,19283,0,0.48,0,0.02,1,0,0,0,0
homebrew-cask,11841,1,0.67,1,0.16,0,1,2,2,0
homebrew-cask,33761,0,0.84,1,0.01,0,0,1,1,1
homebrew-cask,12273,0,0.1,1,0.03,0,0,14,14,1
homebrew-cask,16451,0,0.48,0,0.12,1,0,0,0,0
homebrew-cask,14533,0,0.44,1,0.32,0,1,3,3,0
homebrew-cask,12364,0,0,1,0.14,0,1,2,2,0
homebrew-cask,253,1,0.5,1,0.01,0,2,6,0,0
homebrew-cask,27519,1,0.95,1,0.16,0,0,0,0,0
homebrew-cask,5610,1,0.78,0,0.26,0,0,0,0,0
homebrew-cask,30716,1,0.84,1,0,0,1,6,3,0
homebrew-cask,15826,0,0.36,1,0.01,0,1,4,5,0
homebrew-cask,13329,0,0.64,1,0.08,1,1,4,4,0
homebrew-cask,12778,0,0.1,1,0.46,0,2,12,14,0
homebrew-cask,6346,1,0.97,16,0.44,0,1,2,2,0
homebrew-cask,13745,0,0.76,1,0.01,0,2,2,2,0
homebrew-cask,34382,1,0.84,1,0,0,2,1,1,0
homebrew-cask,26623,1,0.69,1,0.05,0,1,1,1,0
homebrew-cask,6320,0,0,0,0.05,0,0,0,0,0
homebrew-cask,24816,1,0.5,0,0.22,1,1,4,17,0
homebrew-cask,23260,0,0.6,0,0,0,0,0,0,1
homebrew-cask,15906,0,0.64,1,0,0,1,3,3,0
homebrew-cask,5658,1,0.43,1,0,0,5,10,10,0
homebrew-cask,8493,0,0.69,0,0.01,0,0,0,0,0
homebrew-cask,12082,0,0.36,1,0.06,0,0,2,2,1
homebrew-cask,3545,1,0.9,1,0,0,0,0,0,0
homebrew-cask,8741,1,0.5,1,0.03,0,1,3,2,0
homebrew-cask,3799,1,0.48,0,0,0,0,0,0,0
homebrew-cask,9056,1,0.48,0,4.92,1,0,0,0,0
homebrew-cask,33291,1,0.64,1,0.01,0,1,3,3,0
homebrew-cask,7522,1,0.97,70,0.11,0,231,236,2,0
homebrew-cask,33613,0,0.84,1,0.03,0,0,1,1,1
homebrew-cask,9289,1,0.67,1,0.05,0,1,2,2,0
homebrew-cask,25544,1,0.4,0,0.02,0,0,0,0,0
homebrew-cask,18817,0,0,1,0.01,1,0,0,0,0
homebrew-cask,27354,1,0.77,1,0.01,0,3,16,0,0
homebrew-cask,4215,1,0.74,0,0.01,0,1,3,3,0
homebrew-cask,1665,1,0.94,1,0.01,0,1,7,0,0
homebrew-cask,35717,0,0.75,1,0,0,0,8,3,1
homebrew-cask,19199,1,0.33,0,0.14,0,1,3,3,0
homebrew-cask,1014,1,0.75,0,0,0,2,3,3,0
homebrew-cask,271,1,0.75,0,0.15,0,0,0,0,0
homebrew-cask,20484,0,0.78,0,0.05,0,0,0,0,1
homebrew-cask,33623,0,0.84,1,0.02,0,0,1,1,1
homebrew-cask,24762,1,0.48,0,0,0,0,0,0,0
homebrew-cask,33082,0,0.69,1,0.07,1,1,1,1,0
homebrew-cask,15639,0,0.33,0,0.05,0,1,46,2,0
homebrew-cask,10967,1,0.63,0,0.18,0,2,13,0,0
homebrew-cask,21881,1,0.48,1,0.01,0,1,0,13,0
homebrew-cask,7165,0,0.93,3,7.64,7,0,27,46,1
homebrew-cask,14089,0,0.69,0,0.02,0,0,0,0,0
homebrew-cask,15205,0,0,0,0.11,0,0,0,0,1
homebrew-cask,35717,0,0.75,1,0,0,0,8,3,1
homebrew-cask,24996,1,0.67,0,0.06,0,1,2,2,0
homebrew-cask,23691,1,0.64,1,0.09,0,1,3,3,0
homebrew-cask,9021,0,0.48,0,6.13,1,0,0,0,1
homebrew-cask,10020,1,0.42,1,0.03,0,1,2,2,0
homebrew-cask,25351,1,0.95,1,0,0,0,0,0,0
homebrew-cask,23129,0,0.64,1,0.16,0,0,1,1,1
homebrew-cask,4386,1,0.48,0,0,0,0,0,0,0
homebrew-cask,33122,1,0.9,1,0,0,1,2,2,0
homebrew-cask,25003,0,0.89,0,0.02,0,0,0,0,1
homebrew-cask,25481,1,0.82,1,0.01,0,1,2,2,0
homebrew-cask,30499,1,0.32,1,0.23,0,1,2,2,0
homebrew-cask,20628,1,0.64,1,0.01,0,1,3,3,0
homebrew-cask,11701,1,0.94,0,0.06,0,0,0,0,0
homebrew-cask,33760,0,0.84,1,0.01,0,0,1,1,1
homebrew-cask,25007,0,0.89,0,0.01,0,0,0,0,1
homebrew-cask,25998,1,0.85,0,0,0,1,2,2,0
homebrew-cask,33607,0,0.84,1,0.03,0,0,1,1,1
homebrew-cask,5216,0,0.5,1,0.01,2,0,9,0,1
homebrew-cask,32965,1,0.84,0,0.01,0,0,0,0,0
homebrew-cask,33652,1,0.84,1,0.02,0,1,1,1,0
homebrew-cask,13531,0,0.17,0,0.05,2,0,0,0,1
homebrew-cask,1075,0,0,0,0,1,1,4,4,0
homebrew-cask,33477,1,0.69,1,0.02,0,1,1,1,0
homebrew-cask,35365,1,0.83,0,0.05,0,0,0,0,0
homebrew-cask,35180,0,0.64,0,0,0,0,0,0,0
homebrew-cask,28221,1,0.95,1,0.01,0,0,0,0,0
homebrew-cask,34556,1,0.89,1,0.04,0,1,2,2,0
homebrew-cask,6244,1,0.92,0,0.24,0,0,0,0,0
homebrew-cask,3079,1,0.97,4,3.36,0,0,0,0,0
homebrew-cask,10201,1,0.69,0,0.06,0,0,0,0,0
homebrew-cask,7427,1,0.88,1,0.04,0,1,1,0,0
homebrew-cask,19003,0,0.5,1,0.01,0,0,0,0,0
homebrew-cask,27728,1,0.95,1,0.02,0,0,0,0,0
homebrew-cask,22722,1,0.56,0,0.03,0,1,2,2,0
homebrew-cask,23809,1,0.64,1,0.01,0,3,116,103,0
homebrew-cask,20493,1,0.6,0,0.02,0,0,0,0,0
homebrew-cask,10232,1,0.48,0,0,0,0,0,0,0
homebrew-cask,28462,1,0.64,1,0,0,1,3,3,0
homebrew-cask,27142,0,0.56,1,0.2,1,0,15,0,1
homebrew-cask,20189,0,0.4,0,0.47,1,0,0,0,0
homebrew-cask,30133,0,0.95,0,0.16,0,0,0,0,0
homebrew-cask,16482,0,0.48,0,0.03,0,0,0,0,1
homebrew-cask,33622,0,0.84,1,0.02,0,0,1,1,1
homebrew-cask,12459,1,0.1,1,0.01,0,1,2,2,0
homebrew-cask,11558,1,0.48,0,0,0,1,1,1,0
homebrew-cask,22120,1,0.48,1,0.03,0,0,0,0,0
homebrew-cask,31529,0,0.67,1,0.06,0,0,18,0,1
