project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
cocos2d-x,6705,0,0.82,19,149.89,0,5,1155,983,0
cocos2d-x,8034,1,0.95,12,0,0,1,76,60,0
cocos2d-x,2950,0,0.25,0,0.02,0,0,0,0,1
cocos2d-x,3278,1,0.64,1,0,0,1,1,1,0
cocos2d-x,734,1,0.95,107,0,2,1,3,10978,0
cocos2d-x,1817,1,0.75,0,5.11,0,0,0,0,0
cocos2d-x,11250,1,0.89,2,0.66,0,3,56,1,0
cocos2d-x,3352,1,0.64,1,0.18,5,1,1,1,0
cocos2d-x,101,1,0.94,0,0.93,0,0,0,0,0
cocos2d-x,357,1,0.95,2,0,0,1,28,28,0
cocos2d-x,10761,1,0.64,1,0,0,1,294,190,0
cocos2d-x,1909,1,0.95,1,0,0,2,4,4,0
cocos2d-x,9264,1,0.64,13,0.04,0,1,11792,2981,0
cocos2d-x,8621,0,0.94,1,0,0,0,1,1,1
cocos2d-x,3944,0,0.94,24,0.73,3,0,5447,130,1
cocos2d-x,13268,1,0.93,1,1.13,0,1,5,4,0
cocos2d-x,11332,1,0.64,8,0.01,0,1,2288,0,0
cocos2d-x,4495,0,0.64,1,0,0,1,1,1,0
cocos2d-x,3854,1,0.5,1,0.19,0,1,1,0,0
cocos2d-x,685,1,0.97,3,0,0,2,0,0,0
cocos2d-x,17651,0,0,0,0.02,0,0,0,0,0
cocos2d-x,11681,0,0.64,3,0,0,1,62,0,0
cocos2d-x,4895,1,0.64,1,0.02,0,1,1,1,0
cocos2d-x,14099,1,0.93,4,0.03,0,1,544,469,0
cocos2d-x,5977,0,0.93,3,0.01,0,0,56,5,1
cocos2d-x,9947,1,0.85,2,0.09,0,2,6,9,0
cocos2d-x,4319,1,0.64,0,0.4,0,0,0,0,0
cocos2d-x,11826,1,0.92,2,0.03,0,1,15,5,0
cocos2d-x,4261,0,0.85,19,0.21,2,0,319,205,1
cocos2d-x,15281,1,0.72,596,0.95,0,13,1894,1715,0
cocos2d-x,14169,0,0.44,0,0.01,0,0,0,0,1
cocos2d-x,5497,1,0.82,26,3.02,0,19,493,183,0
cocos2d-x,5776,0,0.64,2,0,0,1,3,7,0
cocos2d-x,7197,1,0.89,1,0.01,0,2,2,1,0
cocos2d-x,2103,1,0.95,2,0,0,2,6,2,0
cocos2d-x,10376,0,0.17,6,1.36,0,0,0,0,1
cocos2d-x,187,1,0.94,0,0,1,0,0,0,0
cocos2d-x,5298,1,0.79,13,0.67,0,5,661,43,0
cocos2d-x,11580,1,0.64,1,0,0,1,317,317,0
cocos2d-x,16816,0,0.25,0,0,0,0,0,0,1
cocos2d-x,17106,0,0.95,3,0.05,0,0,24,10,1
cocos2d-x,6365,1,0.97,10,0,0,11,678,3,0
cocos2d-x,2402,1,0.67,1,0.18,0,1,6,0,0
cocos2d-x,5084,0,0.89,4,0.06,0,0,18,2,1
cocos2d-x,2257,1,0.97,4,0,0,3,37,71,0
cocos2d-x,16802,1,0.64,4,0.05,0,1,13,13,0
cocos2d-x,3987,0,0.5,0,0,0,0,0,0,1
cocos2d-x,7993,1,0.64,1,0,0,1,0,6,0
cocos2d-x,8002,0,0.66,0,0.3,5,0,0,0,1
cocos2d-x,2504,0,0.33,4,0.03,1,0,280,50,1
cocos2d-x,7288,1,0.94,16,0.04,0,1,0,1795,0
cocos2d-x,514,0,0.75,0,0,0,0,0,0,1
cocos2d-x,4589,1,0.92,4,0,0,1,21,0,0
cocos2d-x,1808,1,0.33,0,0.01,0,0,0,0,0
cocos2d-x,2977,0,0.67,1,200.54,0,1,1,0,0
cocos2d-x,11196,0,0.86,18,0.05,0,0,171,36,1
cocos2d-x,2574,1,0.95,4,3.24,0,2,12,7,0
cocos2d-x,9186,0,0.64,1,0.18,0,1,15,0,0
cocos2d-x,12153,1,0.94,4,11.35,0,6,432,146,0
cocos2d-x,6673,1,0.92,1,0,0,1,4,2,0
cocos2d-x,4355,0,0,1,41.11,0,1,1,1,0
cocos2d-x,8902,0,0.84,1,34.89,0,0,1,1,1
cocos2d-x,15645,1,0.6,1,8.56,0,2,94,212,0
cocos2d-x,11095,1,0.95,11,0,0,2,84,68,0
cocos2d-x,561,1,0.92,0,0,0,0,0,0,0
cocos2d-x,14660,1,0.75,1,0.02,0,1,1,3,0
cocos2d-x,333,0,0,1,0,0,0,2,2,1
cocos2d-x,5192,1,0.85,5,2.47,0,1,0,0,0
cocos2d-x,1014,1,0.97,1,0,0,1,110,0,0
cocos2d-x,6872,0,0.31,1,752.81,0,1,4,0,0
cocos2d-x,4321,0,0,8,161.37,0,3,90,27,0
cocos2d-x,12307,1,0.85,2,0.45,0,1,0,18,0
cocos2d-x,3944,0,0.94,24,0.73,3,0,5447,130,1
cocos2d-x,8724,1,0.64,8,0,0,1,1290,8,0
cocos2d-x,17440,1,0.5,1,2.15,0,1,6,1,0
cocos2d-x,2408,1,0.53,1,0.04,0,1,1,1,0
cocos2d-x,6308,1,0.82,30,0.85,0,3,349,228,0
cocos2d-x,7340,1,0.94,1,0.05,0,1,4,0,0
cocos2d-x,7191,1,0.64,3,0.06,0,1,14,113,0
cocos2d-x,13626,0,0,2,0,0,0,35,0,1
cocos2d-x,2761,1,0.94,0,0,0,0,0,0,0
cocos2d-x,7097,1,0.89,1,0,0,1,4,2,0
cocos2d-x,141,1,0.94,0,2.66,0,0,0,0,0
cocos2d-x,2036,1,0.43,0,3.92,0,0,0,0,0
cocos2d-x,9174,1,0.64,3,0.05,0,1,65,10,0
cocos2d-x,3025,0,0.88,1,2.6,0,0,32,51,1
cocos2d-x,10905,0,0.85,7,0.25,2,0,7,102,1
cocos2d-x,9477,1,0.79,0,0.62,5,0,0,0,0
cocos2d-x,8767,1,0.89,1,0.01,0,1,3,3,0
cocos2d-x,2001,1,0.67,1,0.01,0,1,5,0,0
cocos2d-x,3253,1,0.29,0,1.08,0,0,0,0,0
cocos2d-x,14191,1,0.64,6,0,0,1,176,0,0
cocos2d-x,4369,1,0.94,2,0.01,0,1,14,4,0
cocos2d-x,7474,1,0.89,5,0.01,0,1,17,2,0
cocos2d-x,4436,1,0.96,3,0.98,0,3,13,50,0
cocos2d-x,8880,1,0.81,0,0,0,0,0,0,0
cocos2d-x,1170,1,0.81,48,0.08,0,5,840,218,0
cocos2d-x,14200,0,0.85,27,0.13,1,0,60,32,1
cocos2d-x,740,1,0.95,3,0,0,1,17,24,0
