project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
symfony,19940,1,0,1,0.78,0,1,1,1,0
symfony,4903,1,0.89,1,0.03,0,1,5,1,0
symfony,14531,0,0.52,4,268.1,15,1,73,42,0
symfony,15200,0,0.5,29,153.94,0,0,353,65,1
symfony,12158,1,0.89,2,3.73,3,2,20,5,0
symfony,2192,1,0,1,0.96,1,0,3,0,1
symfony,3838,0,0.46,2,0.02,0,5,15,8,0
symfony,282,1,0.63,2,0.1,0,1,22,13,0
symfony,6209,0,0.55,2,0.85,0,1,26,12,0
symfony,5646,1,0.43,1,0.15,0,1,3,3,0
symfony,15694,1,0.78,5,1.48,0,1,11,8,0
symfony,5028,1,0.52,2,34.17,0,0,17,0,1
symfony,702,0,0.35,36,18.41,5,0,352,252,1
symfony,15116,1,0.75,1,0.88,0,1,3,3,0
symfony,2182,1,0.5,2,7.47,0,0,244,0,1
symfony,19489,0,0.77,2,0,0,2,38,2,0
symfony,172,0,0,1,0.55,0,1,40,2,0
symfony,8270,0,0.62,1,0.11,0,1,9,1,0
symfony,168,0,0.5,2,0.79,0,1,31,1,0
symfony,4160,1,0.64,1,0.04,0,1,4,1,0
symfony,10494,0,0.5,2,0.01,0,1,6,2,0
symfony,1959,1,0.72,1,0.03,0,1,4,2,0
symfony,13388,0,0,2,22.86,0,0,31,0,1
symfony,259,0,0.14,1,0,0,1,1,1,0
symfony,4904,0,0.5,3,0.29,0,2,206,72,0
symfony,17549,1,0,2,0.42,0,1,8,13,0
symfony,14724,1,0.88,1,0.06,0,1,3,3,0
symfony,1899,1,0.78,4,0.64,5,0,11,4,1
symfony,1078,1,0.58,1,0.24,0,1,30,6,0
symfony,22903,1,0.83,10,0.68,0,1,61,9,0
symfony,20944,0,0.88,2,1.55,0,1,33,1,0
symfony,8622,0,0.31,3,1.19,0,1,10,4,0
symfony,12148,0,0.38,54,11.08,10,0,5677,444,1
symfony,17760,1,0.14,8,14.88,0,2,240,21,0
symfony,9067,0,0.78,51,0.87,0,2,73,34,0
symfony,1816,1,0.22,0,0.01,0,0,0,0,0
symfony,6073,0,0.36,2,0.63,0,3,37,7,0
symfony,21052,0,0.78,3,209.82,9,2,36,9,0
symfony,3546,0,0.77,0,0.22,0,0,0,0,0
symfony,10826,0,0.33,2,0.01,0,0,2,1,1
