project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
twbs,5448,0,0,0,0.02,0,0,0,0,1
twbs,3960,0,0,3,24.02,0,0,30,3,1
twbs,14015,1,0.96,0,3.6,0,0,41658,34331,0
twbs,12863,1,0.5,0,5.55,0,0,39,37,0
twbs,14463,0,0,0,63.27,0,0,0,0,0
twbs,13724,0,0.33,0,0.11,0,0,8,6,0
twbs,7584,0,0,0,92.63,1,1,0,0,0
twbs,12579,1,0.65,0,4.45,0,0,0,0,0
twbs,3174,0,0,0,43.37,1,1,0,0,0
twbs,20103,0,0.33,0,0.66,0,0,0,0,1
twbs,15406,0,0,0,0,0,0,55,64,0
twbs,3743,0,0.18,0,0,1,1,0,0,0
twbs,20419,0,0,0,36.21,1,1,17,17,0
twbs,12527,0,0,0,0.47,2,2,0,0,0
twbs,11585,0,0.5,0,7.74,1,0,0,0,1
twbs,1923,0,0,0,0.26,1,1,0,0,0
twbs,11173,0,0.23,0,1.86,3,3,0,0,0
twbs,22095,1,0.25,0,37.5,0,0,4,0,0
twbs,995,1,0.5,0,0.86,0,0,0,0,0
twbs,3644,0,0,0,3.62,1,1,3,3,0
twbs,1832,0,0,0,4.33,1,1,0,0,0
twbs,7315,0,0,0,66.01,1,1,168,30,0
twbs,15930,1,0.84,0,0.07,0,0,81,0,0
twbs,2145,0,0,0,0.07,0,0,2,0,0
twbs,2012,0,0,0,0.66,1,1,40,6,0
twbs,5163,0,0,0,0.34,2,2,0,0,0
twbs,12976,1,0.73,0,0.57,0,0,0,0,0
twbs,18750,0,0,0,2.3,4,4,39,17,0
twbs,10858,0,0.33,0,86.66,5,5,0,0,0
twbs,8209,0,0,0,35.3,4,4,0,0,0
twbs,12891,1,0.73,0,5.51,3,3,0,0,0
twbs,1782,0,0.18,0,0.4,1,1,6,6,0
twbs,10950,1,0.94,0,0.35,0,0,0,0,0
twbs,8210,1,0.96,0,0,0,0,0,0,0
twbs,14001,1,0.87,0,1.17,0,0,0,0,0
twbs,11191,0,0,0,0.01,0,0,0,0,1
twbs,9585,0,0.25,0,0.03,0,0,0,0,1
twbs,22005,0,0.31,0,15.61,1,1,0,0,0
twbs,22197,0,0,0,0.03,1,1,1,1,0
twbs,8291,1,0.96,0,0.04,0,0,0,0,0
twbs,1258,1,0.58,0,0.09,0,0,0,0,0
twbs,19300,0,0.5,0,3.16,5,5,23,23,0
twbs,6251,0,0,0,32.57,0,0,16,16,0
twbs,22823,0,0,0,3.94,1,1,11,3,0
twbs,6655,0,0,0,15.34,3,3,0,0,0
twbs,22949,1,0.89,0,0.03,0,0,10,25,0
twbs,8109,0,0,0,0.71,0,0,0,0,0
twbs,20973,0,0.6,0,2.38,0,0,9,3,1
twbs,21089,1,0.86,0,0.01,0,0,30,0,0
twbs,12604,0,0,0,0.28,3,0,9,3,1
twbs,22533,0,0,0,0.06,0,0,13,3,0
twbs,4496,0,0.13,0,0,0,0,83,83,0
twbs,12380,1,0.94,0,0.16,0,0,2,1,0
twbs,12885,0,0,0,0.19,0,0,0,0,0
twbs,21657,0,0.48,0,10.91,0,0,1,2,0
twbs,22584,0,0.2,0,0,1,1,0,0,0
twbs,17133,1,0.6,0,0.02,1,1,0,0,0
twbs,3225,0,0.2,0,0.59,1,0,1,1,1
twbs,7283,0,0,0,0.15,1,1,32,0,0
twbs,10787,0,0,0,42.27,0,0,12,4,1
twbs,13612,0,0.33,0,2.59,4,4,1,1,0
twbs,22822,1,0.77,0,0,0,0,350,253,0
twbs,22238,1,0.5,0,0.49,0,0,1,1,0
twbs,11138,1,0.5,0,51.67,0,0,5,3,0
twbs,19950,0,0,0,0.22,0,0,66,10061,1
twbs,5508,1,0.63,0,3.08,0,0,0,0,0
twbs,7227,0,0.5,0,0.29,1,0,1,1,1
twbs,16565,1,0.5,0,0.01,0,0,43,5,0
twbs,15895,0,0,0,0.06,0,0,0,0,0
twbs,5187,1,0.6,0,0.04,0,0,0,0,0
twbs,17698,0,0,0,33.07,0,0,1,1,1
twbs,5448,0,0,0,0.02,0,0,0,0,1
twbs,21047,0,0.75,0,0,1,1,1,1,0
