project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
zendframework,2261,1,0.44,0,0,0,0,0,0,0
zendframework,2682,0,0.44,4,0.1,0,1,4,4,0
zendframework,1896,0,0.55,4,0.77,0,0,163,0,1
zendframework,490,0,0.41,1,0.15,1,1,1,1,0
zendframework,6396,0,0.31,2,38.03,3,1,1346,1296,0
zendframework,3848,0,0.07,0,53.01,3,0,0,0,0
zendframework,1194,1,0.4,1,0.01,0,1,85,58,0
zendframework,7048,0,0.11,3,0,0,1,16,7,0
zendframework,507,0,0.41,11,7.11,3,7,122,25,0
zendframework,6156,0,0.22,0,11.66,0,0,0,0,0
zendframework,933,1,0.64,0,0.03,0,0,0,0,0
zendframework,247,0,0.67,11,3.1,1,2,84,77,0
zendframework,5461,1,0.39,2,0.18,0,1,2,2,0
zendframework,7061,0,0.11,2,9.86,0,1,0,2,0
zendframework,6771,0,0,1,0,0,0,2,3,1
zendframework,2776,0,0.42,2,0.2,0,1,2,2,0
zendframework,3155,0,0.39,1,7.48,0,1,1,1,0
zendframework,3057,0,0,0,16.98,0,0,0,0,0
zendframework,1353,0,0.68,2,0.48,0,0,2,2,1
zendframework,2924,0,0.54,0,6.98,0,0,0,0,1
zendframework,6917,0,0.44,1,0.44,0,1,3,2,0
zendframework,4682,0,0.5,0,1.9,0,0,0,0,0
zendframework,7014,0,0.44,156,4.7,1,1,301,300,0
zendframework,4818,0,0.25,5,5.27,0,6,36,5,0
zendframework,2166,0,0.55,2,0.02,0,0,28,1,1
zendframework,70,0,0.04,2,41.85,0,1,80,31,0
zendframework,995,0,0.44,0,1.16,1,0,0,0,0
zendframework,7484,0,0.75,0,24.41,0,0,0,0,0
zendframework,5506,0,0.39,2,1.01,0,1,2,2,0
zendframework,379,0,0.26,2,5.28,5,2,22,6,0
zendframework,5097,0,0.42,122,1022.73,0,38,2395,4431,0
zendframework,74,0,0,0,0.12,0,0,0,0,0
zendframework,2882,0,0.75,0,0.86,0,0,0,0,1
zendframework,1776,1,0.75,0,0.6,0,0,0,0,0
zendframework,7500,0,0.75,0,21.52,0,0,0,0,0
zendframework,1122,1,0.75,0,3.12,0,0,0,0,0
zendframework,295,0,0.04,1,27.22,1,3,34,10,0
zendframework,6014,0,0,0,0.03,0,0,0,0,0
zendframework,3873,0,0,2,17.02,0,1,44,0,0
zendframework,652,1,0.7,15,0.03,0,3,40,176,0
zendframework,4989,0,0,0,0.96,5,0,0,0,1
zendframework,163,0,0,0,10,2,0,0,0,1
zendframework,5827,0,0,0,0.03,0,0,0,0,0
zendframework,6785,0,0.39,9,38.47,0,8,11,102,0
zendframework,2282,1,0.44,0,9.94,0,0,0,0,0
zendframework,4448,0,0.49,11,0.93,0,13,929,1,0
zendframework,5691,0,0.25,0,55.39,2,0,0,0,0
zendframework,2332,1,0.73,1,3.08,0,1,30,0,0
zendframework,6956,0,0.2,7,0.03,0,0,137,11,1
zendframework,2973,0,0.18,3,0.08,0,0,87,2,1
zendframework,1509,0,0.55,6,0.58,1,1,997,31,0
zendframework,2655,0,0,0,0.27,0,0,0,0,0
zendframework,1082,1,0.68,18,12.04,0,2,87,109,0
zendframework,4522,0,0.44,1,0.96,0,1,0,2,0
zendframework,3080,0,0.13,6,1.14,0,0,172,25,1
zendframework,3511,1,0.55,0,0.35,0,0,0,0,0
zendframework,1411,0,0.55,2,0.02,1,3,17,19,0
zendframework,1819,1,0.75,0,0.27,0,0,0,0,0
zendframework,3608,0,0.14,0,6.26,0,0,0,0,0
zendframework,5972,1,0.31,1,0.23,0,2,2,0,0
zendframework,2685,0,0.13,212,0.04,0,0,0,0,1
zendframework,6588,0,0,85,49.09,3,427,4846,1805,0
zendframework,505,0,0.41,2,7.26,0,1,99,10,0
zendframework,4987,0,0,6,137.12,6,1,323,71,0
