pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
11389,1,0.72,4,0.47,0,1,17,19,0
6787,1,0.84,0,0.01,0,0,61,0,0
22101,1,0.75,0,0.91,0,0,8,0,0
21258,1,0.33,0,0.02,0,0,2,0,0
3329,0,0.75,2,155.8,0,0,16,1,1
10279,0,0,1,0.2,3,1,50,3,0
6003,0,0,0,12.68,0,0,0,0,0
10271,0,0.25,2,0.04,0,0,40,31,1
20933,0,0.25,6,1.7,0,0,413,12,1
11593,1,0.44,0,0.03,0,0,0,0,0
11124,1,0.81,3,0.21,0,1,1,101,0
11561,0,0,2,99.72,0,1,0,2,0
14299,0,0.55,1,5.03,2,1,2,0,0
3232,1,0.88,0,1.48,0,0,1,0,0
14563,0,0,1,0.14,1,1,5,1,0
4337,1,0.43,0,0,0,0,2,0,0
12280,1,0.81,1,0.35,0,1,51,1,0
10920,0,0,3,13.68,7,4,1,2,0
6344,0,0.71,4,0.01,0,0,16,4,1
12167,1,0.5,1,0.31,0,1,70,1,0
20260,0,0.83,1,0.08,0,0,1,1,1
18165,0,0.25,0,1.33,8,0,36,0,0
14373,1,0.68,3,1.1,0,2,6,6,0
6405,0,0.33,372,0,2,538,22,1681,0
3481,0,0.66,0,17.12,3,0,0,0,0
14345,1,0.81,2,0.84,0,1,36,3,0
16949,0,0,1,228.72,3,1,11,53,0
11489,0,0.58,0,0.02,5,0,0,0,1
17820,1,0.25,0,34.92,0,0,14,0,0
9761,0,0.44,1,4.94,0,0,8,5,1
6219,1,0.84,0,0.44,0,0,0,0,0
4226,1,0.5,2,0.91,0,1,6,8,0
15806,0,0.83,4,0.08,0,0,39,8,1
13780,0,0.5,1,0.49,0,0,13,0,1
123,0,0,2,0.2,0,1,10,0,0
6084,1,0.71,0,0,0,0,16,0,0
4601,1,0.88,1,1.17,0,1,17,0,0
15542,1,0.61,9,0.56,0,1,4,15,0
26211,0,0,1,0.13,6,0,0,2,1
