fk_rails,pr_id,First_Status,FirstStatus,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes,Label
1,11389,1,Accepted,0.72,4,0.47,0,1,17,19,0,Non-Reopened
1,6787,1,Accepted,0.84,0,0.01,0,0,61,0,0,Non-Reopened
1,22101,1,Accepted,0.75,0,0.91,0,0,8,0,0,Non-Reopened
1,21258,1,Accepted,0.33,0,0.02,0,0,2,0,0,Non-Reopened
1,3329,0,Rejected,0.75,2,155.8,0,0,16,1,1,Reopened
1,10279,0,Rejected,0,1,0.2,3,1,50,3,0,Non-Reopened
1,6003,0,Rejected,0,0,12.68,0,0,0,0,0,Non-Reopened
1,10271,0,Rejected,0.25,2,0.04,0,0,40,31,1,Reopened
1,20933,0,Rejected,0.25,6,1.7,0,0,413,12,1,Reopened
1,11593,1,Accepted,0.44,0,0.03,0,0,0,0,0,Non-Reopened
1,11124,1,Accepted,0.81,3,0.21,0,1,1,101,0,Non-Reopened
1,11561,0,Rejected,0,2,99.72,0,1,0,2,0,Non-Reopened
1,14299,0,Rejected,0.55,1,5.03,2,1,2,0,0,Non-Reopened
1,3232,1,Accepted,0.88,0,1.48,0,0,1,0,0,Non-Reopened
1,14563,0,Rejected,0,1,0.14,1,1,5,1,0,Non-Reopened
1,4337,1,Accepted,0.43,0,0,0,0,2,0,0,Non-Reopened
1,12280,1,Accepted,0.81,1,0.35,0,1,51,1,0,Non-Reopened
1,10920,0,Rejected,0,3,13.68,7,4,1,2,0,Non-Reopened
1,6344,0,Rejected,0.71,4,0.01,0,0,16,4,1,Reopened
1,12167,1,Accepted,0.5,1,0.31,0,1,70,1,0,Non-Reopened
1,20260,0,Rejected,0.83,1,0.08,0,0,1,1,1,Reopened
1,18165,0,Rejected,0.25,0,1.33,8,0,36,0,0,Non-Reopened
1,14373,1,Accepted,0.68,3,1.1,0,2,6,6,0,Non-Reopened
1,6405,0,Rejected,0.33,372,0,2,538,22,1681,0,Non-Reopened
1,3481,0,Rejected,0.66,0,17.12,3,0,0,0,0,Non-Reopened
1,14345,1,Accepted,0.81,2,0.84,0,1,36,3,0,Non-Reopened
1,16949,0,Rejected,0,1,228.72,3,1,11,53,0,Non-Reopened
1,11489,0,Rejected,0.58,0,0.02,5,0,0,0,1,Reopened
1,17820,1,Accepted,0.25,0,34.92,0,0,14,0,0,Non-Reopened
1,9761,0,Rejected,0.44,1,4.94,0,0,8,5,1,Reopened
1,6219,1,Accepted,0.84,0,0.44,0,0,0,0,0,Non-Reopened
1,4226,1,Accepted,0.5,2,0.91,0,1,6,8,0,Non-Reopened
1,15806,0,Rejected,0.83,4,0.08,0,0,39,8,1,Reopened
1,13780,0,Rejected,0.5,1,0.49,0,0,13,0,1,Reopened
1,123,0,Rejected,0,2,0.2,0,1,10,0,0,Non-Reopened
1,6084,1,Accepted,0.71,0,0,0,0,16,0,0,Non-Reopened
1,4601,1,Accepted,0.88,1,1.17,0,1,17,0,0,Non-Reopened
1,15542,1,Accepted,0.61,9,0.56,0,1,4,15,0,Non-Reopened
1,26211,0,Rejected,0,1,0.13,6,0,0,2,1,Reopened
1,5432,0,Rejected,0.33,2,6.99,4,1,8,8,0,Non-Reopened
1,14212,1,Accepted,0.6,2,657.05,0,1,9,1,0,Non-Reopened
1,5698,1,Accepted,0.5,5,25.72,0,6,1,11,0,Non-Reopened
1,3185,1,Accepted,0.86,1,0.13,0,1,1,1,0,Non-Reopened
1,11370,1,Accepted,0.8,1,0,0,1,2,1,0,Non-Reopened
1,4667,1,Accepted,0.88,2,0.01,0,4,21,44,0,Non-Reopened
1,23207,1,Accepted,0.93,1,0.01,0,1,0,2,0,Non-Reopened
1,20649,0,Rejected,0.65,6,102.96,2,1,12,0,0,Non-Reopened
1,4576,1,Accepted,0.79,1,2.02,0,1,3,1,0,Non-Reopened
1,12333,0,Rejected,0.33,1,111.36,0,1,0,1,0,Non-Reopened
1,9341,1,Accepted,0.87,3,0.06,0,1,4,6,0,Non-Reopened
1,9574,1,Accepted,0.81,1,0.01,0,1,18,0,0,Non-Reopened
1,19383,1,Accepted,0.66,1,0.01,0,1,4,5,0,Non-Reopened
1,26438,0,Rejected,0.71,2,0.04,0,0,7,0,1,Reopened
1,11592,0,Rejected,0,1,0.04,3,0,1,1,1,Reopened
1,29492,1,Accepted,0.86,1,0.36,0,1,0,13,0,Non-Reopened
1,22172,1,Accepted,0.5,3,20.28,0,1,0,0,0,Non-Reopened
1,13231,1,Accepted,0.78,1,0.29,0,1,1,1,0,Non-Reopened
1,17208,0,Rejected,0,0,0.17,9,0,71,0,0,Non-Reopened
1,9113,1,Accepted,0.55,1,0,0,1,0,0,0,Non-Reopened
1,7601,1,Accepted,0.64,2,0.28,0,1,0,18,0,Non-Reopened
1,18764,1,Accepted,0.5,3,7.85,0,1,69,0,0,Non-Reopened
1,4617,1,Accepted,0.19,0,0,0,0,0,0,0,Non-Reopened
1,22137,0,Rejected,0,1,1.24,4,1,0,0,0,Non-Reopened
1,17493,1,Accepted,0.5,0,4.34,0,0,0,0,0,Non-Reopened
1,28187,1,Accepted,0.86,1,0.17,0,1,3,0,0,Non-Reopened
1,1704,0,Rejected,0,0,0.44,0,0,0,0,0,Non-Reopened
1,15289,1,Accepted,0.64,3,0.04,0,1,2,14,0,Non-Reopened
1,12743,0,Rejected,0.57,3,0.49,1,0,86,6,1,Reopened
1,23862,1,Accepted,0.86,1,0.24,0,1,18,0,0,Non-Reopened
1,20179,1,Accepted,0.64,1,0.07,0,1,1,5,0,Non-Reopened
1,24805,0,Rejected,0.74,1,0.05,1,0,8,4,1,Reopened
1,27594,0,Rejected,0.33,1,3.03,0,1,1,1,0,Non-Reopened
1,12950,0,Rejected,0.6,1,0.05,5,1,0,2,0,Non-Reopened
1,22716,1,Accepted,0.33,0,0.08,0,0,1,0,0,Non-Reopened
1,27191,0,Rejected,0.32,3,80.5,7,0,337,0,1,Reopened
1,24125,1,Accepted,0.45,1,0,0,1,0,0,0,Non-Reopened
1,17080,1,Accepted,0.86,1,0,0,1,1,1,0,Non-Reopened
