pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
16042,0,0,1,3.74,6,0,1,1,1
16040,0,0.02,1,4.59,0,0,6,6,1
15979,0,0,1,0.7,0,0,2,2,1
15849,0,0,137,0.09,0,0,5888,2488,1
15847,0,0.11,6,104.03,0,0,154,40,1
15812,0,0,2,106.65,0,0,0,0,1
15625,0,0,1,0.03,0,0,1,1,1
15473,0,0,1,49.25,0,0,1,1,1
15244,0,0,2,79.17,1,0,21,0,1
15145,0,0,9,116.59,0,0,156,13,1
15113,0,0,2,292.99,4,0,6,1,1
15044,0,0,2,3.45,0,0,0,0,1
15041,0,0,1,0.33,0,0,2,2,1
15030,0,0.14,2,20.51,0,0,27,17,1
14994,0,0,2,67.3,10,0,74,4,1
14992,0,0,407,0.09,0,0,144286,29324,1
14925,0,0,1,2.37,0,0,0,3,1
14850,0,0.07,8,38.98,13,0,1115,0,1
14798,0,0,1,379.9,11,0,32,9,1
14742,0,0,1,400.45,0,0,26,2,1
14604,0,0,1,5.31,0,0,0,43,1
14511,0,0,1,28.13,3,0,4,5,1
14185,0,0,18,0.46,0,0,59,59,1
14136,0,0,2,2.86,0,0,113,2,1
14135,0,0,2,3,6,0,57,1,1
13626,0,0,0,553.15,2,0,0,0,1
13575,0,0,2,361.93,0,0,28,1,1
13540,0,0.01,3,21.95,0,0,63,5,1
13520,0,0.02,1,3.76,0,0,3,7,1
13493,0,0,1,80.86,0,0,1,0,1
13392,0,0,2,62.71,0,0,29,15,1
13390,0,0,0,60.23,0,0,0,0,1
13333,0,0,0,21.91,0,0,0,0,1
13309,0,0,0,0.83,0,0,0,0,1
13175,0,0,10,36.67,0,0,162,7,1
13161,0,0,1,0.38,0,0,10,0,1
13159,0,0,1,2.88,2,0,1,1,1
13146,0,0,2,5.78,0,0,61,6,1
13125,0,0,0,22.43,0,0,0,0,1
13111,0,0,2,330.06,0,0,3,2,1
13058,0,0.02,2,46.87,8,0,153,16,1
13047,0,0,1,0.02,0,0,1,1,1
13007,0,0,0,23.27,0,0,0,0,1
13003,0,0,0,137.83,0,0,0,0,1
13000,0,0,0,1.62,0,0,0,0,1
12991,0,0,1,5.9,4,0,7,6,1
12867,0,0,1,133.67,0,0,18,5,1
12852,0,0,0,252,0,0,0,0,1
12781,0,0.02,2,27.98,0,0,8,5,1
12765,0,0,1,0.83,0,0,1,1,1
12736,0,0,0,261.78,0,0,0,0,1
12660,0,0,1,676.01,2,0,21,3,1
12556,0,0,0,0.27,0,0,0,0,1
12499,0,0,4,694.95,0,0,22,7,1
12470,0,0,0,98.04,0,0,0,0,1
12406,0,0,2,77.78,5,0,305,19,1
12381,0,0.13,0,28.97,0,0,0,0,1
12299,0,0,1,2.39,1,0,1,0,1
12167,0,0,1,45.5,0,0,18,2,1
12044,0,0,1,0.22,0,0,0,0,1
11933,0,0,0,52.72,0,0,0,0,1
11816,0,0,1,0.01,0,0,1,0,1
11734,0,0,2,146.49,1,0,10,0,1
11689,0,0,62,46.19,0,0,6819,3055,1
11615,0,0,1,0.41,0,0,6,6,1
11528,0,0,1,20.08,0,0,1,1,1
11524,0,0,2,28.58,0,0,6,6,1
11523,0,0,2,0.01,0,0,4,4,1
11459,0,0,0,12.21,0,0,0,0,1
11206,0,0,1,9.15,0,0,2,1,1
11117,0,0,1,0.96,0,0,1,1,1
11035,0,0,992,177.9,0,0,51463,16797,1
10919,0,0,2,28,0,0,4,0,1
10864,0,0,2,37.53,0,0,32,13,1
10819,0,0,1,279.01,0,0,3,2,1
10741,0,0,1,0.71,0,0,1,1,1
10653,0,0,2,904.97,0,0,45,29,1
10602,0,0,1,1.39,0,0,2,2,1
10601,0,0,2,11.61,0,0,25,13,1
10577,0,0,2,12.15,0,0,45,29,1
10576,0,0,2,0.04,0,0,45,29,1
10525,0,0,4,923.18,0,0,73,0,1
10513,0,0,1,0.74,0,0,1,0,1
10446,0,0.24,2,279.3,5,0,17,1,1
10170,0,0,2,0.18,2,0,6,1,1
10088,0,0,28,59.95,0,0,202,169,1
9708,0,0,831,2.75,0,0,1419,1798,1
9560,0,0,0,0.12,5,0,0,0,1
9367,0,0.01,31,8.39,9,0,87,87,1
9075,0,0,1,0.09,0,0,5,0,1
9046,0,0,1,27.42,0,0,13,1,1
9016,0,0,3,0.04,0,0,71,17,1
9002,0,0,1,0.05,0,0,12,14,1
8963,0,0,1,9.68,0,0,107,108,1
8953,0,0,1,0.01,3,0,1,1,1
8794,0,0,1,0,0,0,1,1,1
8785,0,0,4,0.95,0,0,44,4,1
8775,0,0,1,8.41,0,0,5,5,1
8757,0,0,1,9.08,0,0,2,0,1
8735,0,0,2,12.05,1,0,8,1,1
8718,0,0,1,0.8,2,0,1,1,1
8503,0,0,1,111.26,0,0,2,0,1
8441,0,0,1,313.29,0,0,4,4,1
8396,0,0.33,6,17.21,0,0,45,76,1
8268,0,0.24,2,73.3,4,0,40,39,1
8206,0,0,1,0.78,4,0,1,1,1
8202,0,0,1,7.14,3,0,27,24,1
8034,0,0,2,1.9,2,0,61,8,1
7819,0,0,1,15.12,0,0,1,1,1
7778,0,0,0,2.72,4,0,0,0,1
7645,0,0,3,90.4,0,0,194,52,1
7548,0,0,11,229.32,4,0,2106,1106,1
7370,0,0,1,407.85,0,0,1,0,1
7335,0,0,0,2.06,0,0,0,0,1
7311,0,0.4,13,92.41,0,0,102,38,1
7308,0,0,1,1156.26,3,0,11,2,1
7304,0,0,2,125.98,0,0,285,6,1
7255,0,0,6,52.48,4,0,90,8,1
7245,0,0,2,160.87,0,0,108,2,1
7190,0,0,1,0.77,1,0,0,2,1
7149,0,0,3,22.01,0,0,101,6,1
7136,0,0.01,1,83,4,0,9,3,1
7128,0,0,1,35.64,0,0,11,0,1
7122,0,0,1,35.99,3,0,1,1,1
7118,0,0,0,55.66,0,0,0,0,1
6998,0,0,1,1.56,2,0,2,2,1
6938,0,0,1,346.09,2,0,5,1,1
6894,0,0,0,34.56,0,0,0,0,1
6813,0,0,2,13.99,0,0,64,21,1
6801,0,0.01,1,11.94,3,0,6,3,1
6744,0,0,0,0.87,0,0,0,0,1
6500,0,0,0,16.83,2,0,0,0,1
6327,0,0,2,146.54,0,0,7,3,1
6122,0,0,1,0.04,0,0,14,1,1
6082,0,0,1,2.44,0,0,1,1,1
6065,0,0,0,255.83,0,0,0,0,1
5942,0,0,1,0.27,0,0,4,0,1
5922,0,0,1,0,0,0,50,37,1
5878,0,0,1,0.11,0,0,4,0,1
5837,0,0,1,101.92,0,0,1,1,1
5741,0,0,1,0.53,0,0,8,0,1
5712,0,0,2,573.87,0,0,14,0,1
5672,0,0,2,200.93,9,0,116,7,1
5646,0,0,2,7.89,0,0,207,16,1
5617,0,0,2,28.04,0,0,24,0,1
5433,0,0,2,58.3,0,0,12,0,1
5425,0,0,1,14.61,0,0,2,1,1
5293,0,0.4,0,25.8,0,0,0,0,1
5256,0,0,2,62.65,0,0,256,0,1
5231,0,0,2,315.17,3,0,21,3,1
5156,0,0,1,8.03,0,0,5,5,1
5050,0,0,2,1.84,0,0,12,1,1
5019,0,0,1,252.51,1,0,15,11,1
5011,0,0,2,0.01,0,0,39,2,1
4975,0,0,1,4.77,0,0,17,0,1
4972,0,0,1,801.25,0,0,1,0,1
4968,0,0,1,0.44,0,0,0,0,1
4967,0,0,0,5.03,0,0,0,0,1
4965,0,0,0,5.21,0,0,0,0,1
4964,0,0,3,3.99,0,0,6,6,1
4963,0,0,1,0.93,0,0,0,0,1
4959,0,0,11,0.99,2,0,438,76,1
4956,0,0,2,7.67,0,0,50,1,1
4911,0,0,0,0.25,0,0,0,0,1
4894,0,0,2,1.09,0,0,19,5,1
4809,0,0,1,1.75,0,0,3,8,1
4757,0,0,1,64.08,2,0,6,0,1
4696,0,0,2,0.02,2,0,6,1,1
4660,0,0,3,341.41,0,0,30,6,1
4647,0,0,1,1.21,0,0,1,1,1
4417,0,0.61,2,0.61,4,0,15,0,1
4415,0,0,4,30.72,7,0,6,6,1
4411,0,0,5,8.14,0,0,41,10,1
4377,0,0,2,4.62,2,0,21,3,1
4293,0,0,2,109.69,0,0,37,7,1
4264,0,0,0,732.98,0,0,0,0,1
4191,0,0,602,176.87,0,0,33483,17066,1
4119,0,0,0,2.98,0,0,0,0,1
4067,0,0,2,348.93,0,0,13,0,1
3998,0,0,0,0.04,0,0,0,0,1
3848,0,0,2,109.94,0,0,134,4,1
3802,0,0,2,95.04,0,0,79,4,1
3736,0,0,0,38.43,0,0,0,0,1
3646,0,0,2,4.32,0,0,10,2,1
3639,0,0.33,0,44.65,0,0,0,0,1
3518,0,0,0,0.27,0,0,0,0,1
3483,0,0,0,18.76,0,0,0,0,1
3437,0,0,3,1.32,0,0,156,49,1
3372,0,0,0,12.85,0,0,0,0,1
3258,0,0.03,52,6.88,0,0,470,74,1
3206,0,0.5,0,355.04,5,0,0,0,1
3137,0,0,0,20,3,0,0,0,1
2967,0,0,4,4.57,1,0,199,87,1
2950,0,0,2,57.86,7,0,22,1,1
2949,0,0,0,28.79,0,0,0,0,1
2821,0,0.25,0,1.61,2,0,0,0,1
2737,0,0,0,54.83,2,0,0,0,1
2670,0,0,3,56.98,2,0,32,0,1
2574,0,0.33,0,150.83,0,0,0,0,1
2459,0,0,8,691.06,0,0,1044,699,1
2315,0,0,0,5.01,0,0,0,0,1
2245,0,0,0,15.01,0,0,0,0,1
2163,0,0,0,671.13,20,0,0,0,1
2148,0,0,2,1.93,0,0,10,2,1
2094,0,0,0,2.97,0,0,0,0,1
2058,0,0,3,2.16,7,0,91,32,1
1926,0,0,0,0.21,0,0,0,0,1
1841,0,0,1,82.45,0,0,1,1,1
1793,0,0,2,6.61,6,0,45,32,1
1788,0,0,2,7.16,1,0,83,60,1
1772,0,0,1,21.22,1,0,1,1,1
1758,0,0,1,15.63,1,0,9,1,1
1745,0,0,3,228.51,0,0,126,51,1
1685,0,0,0,0.05,0,0,0,0,1
1677,0,0,0,40.54,0,0,0,0,1
1661,0,0,8,129.97,0,0,892,110,1
1535,0,0,0,99.96,2,0,0,0,1
1264,0,0,2,104.66,0,0,72,7,1
1171,0,0,0,42.63,2,0,0,0,1
1046,0,0,0,0,0,0,0,0,1
929,0,0,0,226.12,0,0,0,0,1
572,0,0,2,7.77,2,0,37,2,1
546,0,0.26,174,38.83,0,0,8136,5265,1
16065,1,0.24,2,0.37,0,1,1,7,0
16064,1,0.24,8,12.14,0,1,48,8,0
16063,1,0.24,2,7.94,0,2,52,46,0
16062,1,0.5,0,13.77,0,0,0,0,0
16059,1,0.24,2,3.52,0,1,19,1,0
16056,0,0,1,0.82,0,1,1,1,0
16050,0,0,1,27.95,0,1,1,1,0
16046,1,0.43,6,2.5,0,3,95,20,0
16045,0,0.43,2,1.54,0,1,2,77,0
16043,1,0.24,1,3.97,0,1,26,0,0
16037,0,0,2,50.55,0,2,22,1,0
16036,1,0.43,1,6.21,0,2,14,0,0
16035,1,0.26,1,0.63,6,1,5,1,0
16031,0,0,2,2.59,4,3,8,17,0
16026,0,0,1,0.83,0,1,16,1,0
16025,1,0.43,2,4.98,0,4,47,14,0
16018,1,0.24,3,16.87,1,1,51,7,0
16017,0,0,1,2.65,0,1,7,0,0
16015,1,0.24,5,51.93,1,3,241,57,0
16014,0,0,1,0.15,0,1,1,0,0
16013,0,0,1,10.95,0,1,1,2,0
16010,1,0.26,2,11.41,0,1,89,16,0
16008,1,0.4,4,1.05,0,1,122,25,0
16005,1,0.43,1,38.06,0,1,34,1,0
16003,0,0,1,0.69,0,1,0,6,0
16001,0,0,1,11.27,0,1,9,0,0
15999,0,0,25,0.37,0,23,588,242,0
15997,0,0.02,444,17.69,0,5,14615,21218,0
15995,1,0.4,1,4.95,0,1,126,116,0
15991,1,0.43,2,0.71,0,1,69,43,0
15990,1,0.24,3,9.41,0,2,684,345,0
15988,1,0.43,1,0.11,0,1,1,1,0
15984,0,0.02,4,1.03,2,3,34,13,0
15983,0,0,2,61.87,0,1,4,4,0
15982,0,0,1,0,0,1,17,0,0
15978,1,0.43,2,0.03,0,1,19,19,0
15977,1,0.5,1,0.36,0,1,1,1,0
15975,0,0,1,1.6,0,1,1,1,0
15974,0,0,1,0.49,0,1,1,10,0
15973,0,0,1,0.18,0,1,7,10,0
