pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
6705,0,0.82,19,149.89,0,5,1155,983,0
8034,1,0.95,12,0,0,1,76,60,0
2950,0,0.25,0,0.02,0,0,0,0,1
3278,1,0.64,1,0,0,1,1,1,0
734,1,0.95,107,0,2,1,3,10978,0
1817,1,0.75,0,5.11,0,0,0,0,0
11250,1,0.89,2,0.66,0,3,56,1,0
3352,1,0.64,1,0.18,5,1,1,1,0
101,1,0.94,0,0.93,0,0,0,0,0
357,1,0.95,2,0,0,1,28,28,0
10761,1,0.64,1,0,0,1,294,190,0
1909,1,0.95,1,0,0,2,4,4,0
9264,1,0.64,13,0.04,0,1,11792,2981,0
8621,0,0.94,1,0,0,0,1,1,1
3944,0,0.94,24,0.73,3,0,5447,130,1
13268,1,0.93,1,1.13,0,1,5,4,0
11332,1,0.64,8,0.01,0,1,2288,0,0
4495,0,0.64,1,0,0,1,1,1,0
3854,1,0.5,1,0.19,0,1,1,0,0
685,1,0.97,3,0,0,2,0,0,0
17651,0,0,0,0.02,0,0,0,0,0
11681,0,0.64,3,0,0,1,62,0,0
4895,1,0.64,1,0.02,0,1,1,1,0
14099,1,0.93,4,0.03,0,1,544,469,0
5977,0,0.93,3,0.01,0,0,56,5,1
9947,1,0.85,2,0.09,0,2,6,9,0
4319,1,0.64,0,0.4,0,0,0,0,0
11826,1,0.92,2,0.03,0,1,15,5,0
4261,0,0.85,19,0.21,2,0,319,205,1
15281,1,0.72,596,0.95,0,13,1894,1715,0
14169,0,0.44,0,0.01,0,0,0,0,1
5497,1,0.82,26,3.02,0,19,493,183,0
5776,0,0.64,2,0,0,1,3,7,0
7197,1,0.89,1,0.01,0,2,2,1,0
2103,1,0.95,2,0,0,2,6,2,0
10376,0,0.17,6,1.36,0,0,0,0,1
187,1,0.94,0,0,1,0,0,0,0
5298,1,0.79,13,0.67,0,5,661,43,0
11580,1,0.64,1,0,0,1,317,317,0
16816,0,0.25,0,0,0,0,0,0,1
17106,0,0.95,3,0.05,0,0,24,10,1
6365,1,0.97,10,0,0,11,678,3,0
2402,1,0.67,1,0.18,0,1,6,0,0
5084,0,0.89,4,0.06,0,0,18,2,1
2257,1,0.97,4,0,0,3,37,71,0
16802,1,0.64,4,0.05,0,1,13,13,0
3987,0,0.5,0,0,0,0,0,0,1
7993,1,0.64,1,0,0,1,0,6,0
8002,0,0.66,0,0.3,5,0,0,0,1
2504,0,0.33,4,0.03,1,0,280,50,1
7288,1,0.94,16,0.04,0,1,0,1795,0
514,0,0.75,0,0,0,0,0,0,1
4589,1,0.92,4,0,0,1,21,0,0
1808,1,0.33,0,0.01,0,0,0,0,0
2977,0,0.67,1,200.54,0,1,1,0,0
11196,0,0.86,18,0.05,0,0,171,36,1
2574,1,0.95,4,3.24,0,2,12,7,0
9186,0,0.64,1,0.18,0,1,15,0,0
12153,1,0.94,4,11.35,0,6,432,146,0
6673,1,0.92,1,0,0,1,4,2,0
4355,0,0,1,41.11,0,1,1,1,0
8902,0,0.84,1,34.89,0,0,1,1,1
15645,1,0.6,1,8.56,0,2,94,212,0
11095,1,0.95,11,0,0,2,84,68,0
561,1,0.92,0,0,0,0,0,0,0
14660,1,0.75,1,0.02,0,1,1,3,0
333,0,0,1,0,0,0,2,2,1
5192,1,0.85,5,2.47,0,1,0,0,0
1014,1,0.97,1,0,0,1,110,0,0
6872,0,0.31,1,752.81,0,1,4,0,0
4321,0,0,8,161.37,0,3,90,27,0
12307,1,0.85,2,0.45,0,1,0,18,0
3944,0,0.94,24,0.73,3,0,5447,130,1
8724,1,0.64,8,0,0,1,1290,8,0
17440,1,0.5,1,2.15,0,1,6,1,0
2408,1,0.53,1,0.04,0,1,1,1,0
6308,1,0.82,30,0.85,0,3,349,228,0
7340,1,0.94,1,0.05,0,1,4,0,0
7191,1,0.64,3,0.06,0,1,14,113,0
13626,0,0,2,0,0,0,35,0,1
2761,1,0.94,0,0,0,0,0,0,0
7097,1,0.89,1,0,0,1,4,2,0
141,1,0.94,0,2.66,0,0,0,0,0
2036,1,0.43,0,3.92,0,0,0,0,0
9174,1,0.64,3,0.05,0,1,65,10,0
3025,0,0.88,1,2.6,0,0,32,51,1
10905,0,0.85,7,0.25,2,0,7,102,1
9477,1,0.79,0,0.62,5,0,0,0,0
8767,1,0.89,1,0.01,0,1,3,3,0
2001,1,0.67,1,0.01,0,1,5,0,0
3253,1,0.29,0,1.08,0,0,0,0,0
14191,1,0.64,6,0,0,1,176,0,0
4369,1,0.94,2,0.01,0,1,14,4,0
7474,1,0.89,5,0.01,0,1,17,2,0
4436,1,0.96,3,0.98,0,3,13,50,0
8880,1,0.81,0,0,0,0,0,0,0
1170,1,0.81,48,0.08,0,5,840,218,0
14200,0,0.85,27,0.13,1,0,60,32,1
740,1,0.95,3,0,0,1,17,24,0
13540,0,0.81,3,0.01,0,0,15,12,1
333,0,0,1,0,0,0,2,2,1
15744,1,0.99,2,1.58,0,1,64,8,0
16264,0,0.64,1,0.05,0,1,0,13,0
1582,1,0.64,3,1.12,0,2,1,3,0
728,1,0.97,10,0,0,1,16,72,0
12875,0,0.81,1,0.98,0,1,11,5,0
8043,0,0.64,1,0.02,0,0,1,0,1
6632,0,0.89,107,0.99,0,0,1627,1222,1
8051,1,0.89,9,0,0,3,72,39,0
4054,1,0.97,2,0,0,1,2,4,0
3145,0,0.5,1,0.01,0,0,23,1,1
11832,1,0.64,6,0.13,0,1,1379,995,0
3961,1,0.95,18,0,0,1,58,39,0
617,1,0.95,1,2.71,0,1,3,3,0
9614,0,0,1,0.01,0,0,8,16,1
14467,0,0.2,1,0.18,1,1,1,1,0
4858,1,0.97,13,0,0,15,77,41,0
3810,1,0.97,2,0,0,4,25,17,0
12469,1,0.94,1,0.05,0,1,1,1,0
1229,1,0.81,3,0,0,1,83,0,0
8759,1,0.93,1,0,0,1,27,32,0
8118,0,0.64,1,0.53,0,1,15,12,0
16326,0,0.25,1,213.81,0,0,41,8,1
6562,0,0,0,359.75,0,0,0,0,0
7855,0,0.79,0,110.65,0,0,0,0,0
9780,1,0.94,3,1.84,0,1,38,91,0
2750,1,0.64,1,0.03,0,1,1,1,0
11683,1,0.94,3,0.36,0,2,47,5,0
16585,1,0.99,1,4.81,0,1,16,11,0
10045,1,0.89,1,0,0,1,6,4,0
13764,1,0.81,1,0,0,1,3,2,0
16326,0,0.25,1,213.81,0,0,41,8,1
3237,0,0.97,429,0.02,0,0,1712,1667,1
9261,1,0.64,1,0.01,0,1,4,1,0
5549,1,0.92,1,0,0,1,17,14,0
10905,0,0.85,7,0.25,2,0,7,102,1
6267,0,0.93,5,0.06,0,0,55,47,1
10987,1,0.96,1,0.1,0,1,1,1,0
3788,1,0.64,1,0,0,1,1,1,0
9075,0,0.29,4,4.51,4,0,11,3,1
1504,1,0.97,1,0,0,1,1,1,0
2489,1,0.95,6,0.03,0,4,92,8,0
1127,1,0.81,2,0.02,0,1,2,2,0
11967,0,0.56,0,0,0,0,0,0,0
14195,1,0.64,2,0.93,0,1,1,9,0
3718,0,0.95,43,0,0,1,535,535,0
13950,1,0.6,2,215.25,0,2,2,2,0
11578,0,0,7,0,0,0,115,39,1
6703,0,0.82,5,0.61,0,4,117,0,0
14420,0,0.8,4,7.44,4,0,12,9,1
6617,0,0.87,1,4.3,0,1,0,0,0
15112,1,0.89,2,0.03,0,1,14,19,0
11184,1,0.64,1,0.01,0,1,6,0,0
4492,1,0.71,0,0.21,0,0,0,0,0
9844,0,0.64,1,0.01,0,1,4,4,0
7267,1,0.89,30,6.76,0,6,1399,686,0
2108,0,0.5,1,0.57,0,0,20,16,1
