pr_id,First_status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
22879,0,0,2,0,0,0,73,61,1
22697,0,0.5,1,0,0,0,3,3,1
22689,0,0.33,1,0.01,1,0,0,0,1
22004,0,0.31,0,0.01,0,0,0,0,1
21589,0,0.48,49,2.03,0,0,507,490,1
21253,0,0.5,2,0.24,0,0,8,8,1
21155,0,0.17,3,0,0,0,54,8,1
21088,0,0,0,0.01,0,0,0,0,1
20973,0,0.6,1,2.38,0,0,9,3,1
20596,0,0,0,0.83,2,0,0,0,1
20562,0,0.9,0,6.15,1,0,0,0,1
20472,0,0,3,4.83,2,0,6,7,1
20402,0,0.33,4,0.05,2,0,0,0,1
20285,0,0,1,8.2,0,0,10,3,1
20103,0,0.33,0,0.66,0,0,0,0,1
19950,0,0,25,0.22,0,0,66,10061,1
19721,0,0,1,0.04,0,0,0,0,1
19614,0,0.03,0,0,0,0,0,0,1
19574,0,0,28,0.02,0,0,265,131,1
18715,0,0,0,0.01,0,0,0,0,1
18707,0,0.27,2,0.81,1,0,100,47,1
18313,0,0,1,0,1,0,11,1,1
18280,0,0,2,0.01,2,0,104,75,1
18191,0,0,2,304.11,8,0,20,0,1
18152,0,0.56,2,0.01,0,0,4,3,1
17930,0,0.48,1,12.23,0,0,1,0,1
17735,0,0,2,14.08,0,0,23,0,1
17698,0,0,2,33.07,0,0,1,1,1
17600,0,0,0,0,0,0,0,0,1
17487,0,0,1,0,0,0,0,0,1
17230,0,0,0,0.08,0,0,0,0,1
17222,0,0.5,2,107.97,20,0,0,0,1
16947,0,0,1,0,2,0,14,6,1
16508,0,0,1,2.97,4,0,7,0,1
16309,0,0,1,0,0,0,1,0,1
16043,0,0.2,0,0.02,3,0,0,0,1
15994,0,0,0,0,0,0,0,0,1
15857,0,0.5,2,0.03,0,0,6,6,1
15803,0,0,0,0.56,3,0,0,0,1
15746,0,0,0,16.95,5,0,0,0,1
15705,0,0,1,0,0,0,1,0,1
15658,0,0.56,20,0.05,1,0,20,0,1
15376,0,0.25,0,3,0,0,0,0,1
15317,0,0,2,0.01,0,0,12,9,1
15234,0,0,1,0.02,0,0,1,1,1
15213,0,0.25,0,5.57,3,0,0,0,1
15183,0,0.87,4,0.54,10,0,2879,2010,1
15108,0,0.6,1,11.71,8,0,1,1,1
14927,0,0.84,2,5.81,7,0,19,2,1
14890,0,0.89,17,0,1,0,22,19,1
14724,0,0.9,9,0.01,0,0,21,26,1
14603,0,0.25,1,10.55,0,0,1,1,1
14378,0,0,1,0.02,1,0,1,3,1
14365,0,0.45,0,0.3,4,0,0,0,1
14150,0,0.33,1,0.07,1,0,1,0,1
13828,0,0,2,0,0,0,6806,1,1
13758,0,0,1,214.31,0,0,9,5,1
13687,0,0.5,1,0.07,0,0,4,0,1
13619,0,0.27,0,0.08,2,0,0,0,1
13465,0,0.87,1,12.92,3,0,1,1,1
13405,0,0,2,0.42,1,0,109,24,1
13388,0,0.87,36,22.19,0,0,266,221,1
12604,0,0,1,0.28,3,0,9,3,1
12584,0,0,1,40.21,1,0,2,2,1
12533,0,0.5,1,0.43,1,0,7,7,1
12342,0,0.33,0,0.02,0,0,0,0,1
12140,0,0,0,0.5,8,0,0,0,1
11938,0,0.73,0,0.3,3,0,0,0,1
